"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2021","92.64","89.38","93.35","88.94","579.51K","-0.15%"
"Jan 08, 2021","92.78","95.03","95.63","88.76","1.27M","-0.78%"
"Jan 07, 2021","93.51","90.33","93.95","90.26","903.10K","5.36%"
"Jan 06, 2021","88.75","82.59","91.39","82.20","1.74M","12.28%"
"Jan 05, 2021","79.04","75.02","80.28","75.02","636.32K","4.74%"
"Jan 04, 2021","75.46","80.32","80.78","72.49","1.30M","-4.13%"
"Dec 31, 2020","78.71","79.22","79.52","76.88","473.75K","-0.56%"
"Dec 30, 2020","79.15","77.48","80.27","77.48","626.22K","3.36%"
"Dec 29, 2020","76.58","81.90","82.25","75.50","958.80K","-5.89%"
"Dec 28, 2020","81.37","85.07","85.10","81.27","909.68K","-1.17%"
"Dec 24, 2020","82.33","83.47","83.50","81.21","403.81K","-0.24%"
"Dec 23, 2020","82.53","81.84","83.13","81.00","622.17K","2.55%"
"Dec 22, 2020","80.48","78.75","80.78","78.00","775.74K","3.33%"
"Dec 21, 2020","77.89","73.79","78.47","73.39","1.12M","-0.09%"
"Dec 18, 2020","77.96","79.49","80.95","77.32","806.48K","-1.54%"
"Dec 17, 2020","79.18","77.29","79.21","76.45","585.73K","3.69%"
"Dec 16, 2020","76.36","77.75","77.83","75.23","775.85K","-1.10%"
"Dec 15, 2020","77.21","74.01","77.22","72.76","858.78K","7.42%"
"Dec 14, 2020","71.88","74.16","75.38","71.82","703.94K","0.49%"
"Dec 11, 2020","71.53","71.22","73.18","69.35","772.31K","-1.65%"
"Dec 10, 2020","72.73","68.84","73.10","68.27","547.09K","2.99%"
"Dec 09, 2020","70.62","73.56","74.45","68.99","913.22K","-2.20%"
"Dec 08, 2020","72.21","68.15","72.40","68.12","783.73K","3.88%"
"Dec 07, 2020","69.51","69.38","70.16","68.50","830.89K","0.33%"
"Dec 04, 2020","69.28","66.00","69.60","66.00","943.37K","6.80%"
"Dec 03, 2020","64.87","64.23","66.15","63.79","744.09K","1.79%"
"Dec 02, 2020","63.73","62.82","64.37","61.55","680.89K","0.28%"
"Dec 01, 2020","63.55","64.47","65.08","62.64","751.18K","2.65%"
"Nov 30, 2020","61.91","64.87","65.31","61.18","696.07K","-5.38%"
"Nov 27, 2020","65.43","64.74","65.51","64.25","285.15K","1.25%"
"Nov 25, 2020","64.62","64.50","65.11","62.83","645.78K","-1.09%"
"Nov 24, 2020","65.33","64.50","66.53","63.42","1.38M","5.63%"
"Nov 23, 2020","61.85","60.25","62.95","59.77","1.04M","5.82%"
"Nov 20, 2020","58.45","57.72","58.95","56.92","608.60K","0.19%"
"Nov 19, 2020","58.34","56.82","58.60","56.19","668.26K","2.35%"
